particle_id,frame_num,particle_num,time_stamp_s,ecd_um,area_pixels,perimeter,circularity,intensity_mean,intensity_std,intensity_min,intensity_max,max_feret_diam_um,aspect_ratio,x_left,x_right,y_top,y_bottom,edge_particle,experiment,step,type
346925,103,32,11.138,16.375,230,70.04,0.77,460.82,237.09,88,829,27.875,0.36,275,287,925,951,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
347279,110,26,11.902,37.625,853,168.68,0.61,421.15,214.52,43,831,72.875,0.36,983,1018,525,581,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
347300,110,47,11.902,14.875,200,95.81,0.52,724.47,87.13,470,830,25.125,0.85,1144,1168,902,924,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
347348,111,34,12.011,29.875,578,200.07,0.43,671.87,131.8,307,831,58.625,0.47,405,438,829,871,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
347351,111,37,12.011,37.125,828,317.46,0.32,690.83,137.15,261,851,102.125,0.3,1098,1176,869,911,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
347460,113,24,12.23,15.125,208,91.43,0.56,674.25,122.06,343,831,31.625,0.4,30,45,535,563,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
347463,113,27,12.23,12.875,164,80.6,0.56,751.37,73.77,575,830,28.125,0.49,977,996,612,635,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
347470,113,34,12.23,13.375,176,68.6,0.69,716.69,104.26,464,831,25.625,0.36,693,715,735,749,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
347540,114,39,12.339,10.875,133,61.7,0.66,669.8,140.27,340,831,25.125,0.28,1215,1239,866,875,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
347553,114,52,12.339,10.875,132,59.63,0.68,657.39,139.95,354,831,20.625,0.37,321,340,974,986,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
347610,115,54,12.448,32.125,655,157.51,0.58,596.78,191.28,74,950,50.125,0.57,144,186,951,979,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
347652,116,36,12.557,12.375,157,78.36,0.57,723.18,104.73,406,831,33.125,0.22,893,922,684,696,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
347672,116,56,12.557,33.375,697,159.2,0.59,613.67,184.6,95,923,50.125,0.58,1079,1122,937,967,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
347708,117,29,12.666,19.875,303,103.74,0.59,652.83,142.14,286,831,39.125,0.33,858,874,601,635,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
347738,117,59,12.666,28.375,535,185.99,0.44,687.58,137,253,893,61.875,0.51,138,189,970,993,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
348048,123,8,13.322,19.625,300,117.33,0.52,648.32,158.15,294,831,49.375,0.31,289,325,373,399,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
348060,123,20,13.322,10.625,131,77.25,0.53,778.05,43.42,657,831,34.875,0.17,46,72,600,619,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
348141,124,51,13.431,16.375,230,118.5,0.45,734.63,74.12,530,831,57.125,0.15,541,589,878,892,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
348144,124,54,13.431,14.875,203,88.6,0.57,681.84,144.76,239,831,35.375,0.33,267,298,907,920,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
348483,130,44,14.086,14.625,196,95.57,0.52,724.75,85.93,483,831,40.375,0.31,1088,1124,963,975,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
348518,131,32,14.195,12.125,153,63.94,0.69,541.08,210.19,151,831,24.625,0.32,65,88,727,739,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
348524,131,38,14.195,20.125,308,151.37,0.41,709.8,121,262,831,59.125,0.27,473,521,845,874,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
348540,131,54,14.195,14.625,199,120.81,0.41,769.13,57.59,586,831,46.625,0.23,205,245,933,949,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
348689,134,30,14.523,32.625,670,130.64,0.7,359.12,274.41,13,830,41.375,0.93,672,708,559,592,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
348711,134,52,14.523,31.375,630,151.02,0.59,407.42,272.32,39,831,73.125,0.25,761,799,949,1000,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
348753,135,39,14.632,19.625,296,88.94,0.69,483.51,240.49,94,831,37.125,0.3,1008,1041,796,809,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
348765,135,51,14.632,22.125,356,88.74,0.75,522.33,242.23,84,831,34.375,0.47,1012,1039,968,989,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
348786,136,17,14.741,17.375,249,75.7,0.74,444.82,231.83,71,831,30.875,0.36,195,208,352,380,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
348805,136,36,14.741,36.375,807,130.6,0.77,528.69,218.89,135,996,59.625,0.36,796,817,591,640,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
348893,137,57,14.85,22.875,381,110.74,0.62,451.47,252.69,80,830,39.375,0.44,261,290,906,932,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
348960,139,11,15.069,10.125,121,63.18,0.62,743.9,76.39,575,831,24.125,0.26,383,402,244,261,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
348984,139,35,15.069,27.375,502,117.12,0.68,351.86,249.14,36,830,53.625,0.29,534,572,643,674,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
349034,140,26,15.178,31.625,634,124.92,0.71,300.75,262.18,36,831,60.875,0.28,410,450,531,570,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
349080,141,29,15.287,17.125,247,70.21,0.79,381.12,256.97,54,829,28.625,0.38,298,308,603,630,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
349193,143,24,15.506,25.375,443,150.37,0.5,620.26,203.03,110,831,50.125,0.53,621,658,611,636,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
349316,145,57,15.724,12.875,165,77.6,0.59,692.37,131.6,316,831,29.875,0.28,73,101,976,987,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
349450,148,6,16.051,11.875,149,52.8,0.82,529.93,213.28,136,831,16.125,0.53,727,744,75,85,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
349479,148,35,16.051,12.875,165,78.25,0.58,729.09,77.76,550,831,33.625,0.28,549,575,818,836,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
349712,152,27,16.488,22.875,378,87.6,0.79,406.73,256.37,57,831,36.375,0.47,861,891,673,692,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
349786,153,49,16.597,39.125,910,193.17,0.55,434.38,255.9,41,833,92.125,0.2,13,86,980,1001,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
349820,154,31,16.707,17.375,248,128.57,0.43,757.89,58.74,581,831,51.375,0.26,1101,1116,661,705,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
349920,156,18,16.925,26.625,483,122.3,0.64,526.46,208.9,115,831,50.875,0.34,1109,1151,365,390,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
350002,157,38,17.034,32.625,671,129.98,0.71,299.26,264.25,14,830,56.875,0.34,652,700,788,808,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
350051,158,29,17.143,17.875,260,99.4,0.58,703.79,128.37,263,831,37.625,0.31,238,267,480,500,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
350154,159,51,17.253,13.125,169,91.6,0.5,756.39,64.17,558,831,33.125,0.32,1171,1201,928,940,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
350285,161,59,17.471,13.875,182,106.01,0.45,763.34,64.03,576,831,43.875,0.17,429,467,1008,1017,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
