particle_id,frame_num,particle_num,time_stamp_s,ecd_um,area_pixels,perimeter,circularity,intensity_mean,intensity_std,intensity_min,intensity_max,max_feret_diam_um,aspect_ratio,x_left,x_right,y_top,y_bottom,edge_particle,experiment,step,type
15336,1181,1,128.853,23.875,407,78.43,0.91,312.72,274.85,31,799,23.625,0.94,1146,1168,17,39,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
15338,1181,3,128.853,32.625,666,103.57,0.88,201.03,264.83,0,799,32.125,0.98,711,739,856,885,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
15341,1183,2,129.071,24.625,426,78.77,0.93,232.32,267.4,0,795,23.625,1,417,439,500,523,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
15345,1186,1,129.399,44.125,1113,126.23,0.94,147.12,238.03,0,799,42.625,0.99,619,656,533,570,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
15352,1190,2,129.836,31.375,628,96.84,0.92,212.28,270.06,0,799,30.875,0.98,750,777,910,938,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
15355,1191,3,129.945,19.375,295,66.28,0.92,292.48,278.02,10,799,18.625,0.98,892,911,468,486,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
15356,1191,4,129.945,45.125,1157,127.98,0.94,142.63,233.64,0,799,43.875,0.99,645,682,518,555,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
15360,1193,1,130.163,18.125,263,62.7,0.92,371.35,278.13,39,796,18.125,0.9,1256,1274,242,259,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
15361,1193,2,130.163,11.625,145,46.38,0.92,392.06,269.17,41,795,11.375,0.96,700,712,728,741,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
15362,1194,1,130.273,10.625,128,42.97,0.93,463.49,245.41,91,799,10.625,0.92,771,782,5,17,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
15364,1198,1,130.709,28.125,521,87.6,0.92,215.36,267.26,0,797,26.875,0.99,444,469,561,586,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
15366,1199,2,130.819,29.125,551,90.84,0.92,232.44,274.98,0,797,28.375,0.98,792,818,948,974,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
15368,1200,2,130.928,18.125,267,65.7,0.88,334.1,286.87,11,799,19.375,0.9,402,418,925,944,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
15370,1201,2,131.037,20.125,312,67.11,0.93,296.69,283.55,0,798,19.625,0.97,841,860,854,873,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
